"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"2911","Coro1c","-0.8236693894"," 2.8125365394","-2.559038e+00","1.053902e-02","1.819500e-02","-3.787174e+00","Coro1c"
"2912","Pdha1","-0.8235586420"," 3.0457946025","-1.339955e+00","1.803493e-01","2.405992e-01","-5.548320e+00","Pdha1"
"2913","Mrps23"," 0.8235294365"," 1.3465694502"," 1.406953e+00","1.595324e-01","2.157015e-01","-5.523791e+00","Mrps23"
"2914","Bambi"," 0.8234534029"," 0.4181716531"," 1.539241e+00","1.238382e-01","1.723083e-01","-5.365099e+00","Bambi"
"2915","Zfp709","-0.8234233125","-0.1786215101","-3.258139e+00","1.132451e-03","4.886239e-03","-1.800480e+00","Zfp709"
"2916","Taf1","-0.8231497479"," 1.6325233549","-1.837962e+00","6.615487e-02","9.803991e-02","-5.054118e+00","Taf1"
"2917","Phrf1","-0.8231239128"," 0.8599624474","-2.245470e+00","2.480177e-02","3.979594e-02","-4.421765e+00","Phrf1"
"2918","Nup43","-0.8230154802","-0.1056871278","-3.128883e+00","1.769533e-03","4.886239e-03","-2.227978e+00","Nup43"
"2919","Gphn"," 0.8230081692"," 2.0384065513"," 1.331964e+00","1.829612e-01","2.436952e-01","-5.518895e+00","Gphn"
"2920","Akap6"," 0.8229664917"," 0.8827640689"," 1.487251e+00","1.370409e-01","1.887211e-01","-5.388299e+00","Akap6"
"2921","Kcnb1"," 0.8229088905"," 0.3118595736"," 2.138154e+00","3.257510e-02","5.128199e-02","-4.450994e+00","Kcnb1"
"2922","Jrkl","-0.8226768488","-0.0055670351","-3.044248e+00","2.350433e-03","5.251868e-03","-2.479986e+00","Jrkl"
"2923","Zfyve26","-0.8225882209"," 0.3061100080","-2.670540e+00","7.608881e-03","1.360126e-02","-3.487304e+00","Zfyve26"
"2924","4930512B01Rik","-0.8223976457","-0.1300879700","-3.327130e+00","8.867527e-04","4.886239e-03","-1.594179e+00","4930512B01Rik"
"2925","Smoc2","-0.8222760956","-0.2833090973","-3.460864e+00","5.450545e-04","4.886239e-03","-1.145137e+00","Smoc2"
"2926","Ptprn2","-0.8222125436"," 0.0365686485","-3.515773e+00","4.441847e-04","4.886239e-03","-9.554958e-01","Ptprn2"
"2927","1700067K01Rik","-0.8221357392","-0.3409496143","-3.780705e+00","1.590629e-04","3.990708e-03"," 1.174649e-03","1700067K01Rik"
"2928","BC013529"," 0.8221138957"," 2.2217164126"," 1.179513e+00","2.382763e-01","3.074122e-01","-5.657166e+00","BC013529"
"2929","Atp7a","-0.8221099548"," 0.4612632123","-2.609850e+00","9.097790e-03","1.594887e-02","-3.637966e+00","Atp7a"
"2930","Heg1","-0.8220386308"," 1.5401998391","-2.999816e+00","2.720967e-03","5.811501e-03","-2.599019e+00","Heg1"
"2931","Tmem159","-0.8219404213"," 1.2312308787","-2.560857e+00","1.048409e-02","1.810952e-02","-3.829181e+00","Tmem159"
"2932","Il1r1","-0.8219317732","-0.1066352182","-3.195467e+00","1.408785e-03","4.886239e-03","-2.013696e+00","Il1r1"
"2933","Adamtsl4","-0.8218851718"," 1.4715808183","-2.987478e+00","2.832935e-03","5.989188e-03","-2.656726e+00","Adamtsl4"
"2934","Cyp1b1","-0.8217976150","-0.3876601022","-3.741139e+00","1.862027e-04","4.456881e-03","-1.461063e-01","Cyp1b1"
"2935","Ing1"," 0.8216662305"," 1.3745300689"," 1.538404e+00","1.240425e-01","1.725345e-01","-5.366854e+00","Ing1"
"2936","Ankrd17"," 0.8216247237"," 1.8904754730"," 1.474078e+00","1.405528e-01","1.929112e-01","-5.383672e+00","Ankrd17"
"2937","Mapkapk3","-0.8215147668","-0.2241499678","-2.941935e+00","3.283656e-03","6.705526e-03","-2.698239e+00","Mapkapk3"
"2938","Mical1","-0.8213799369"," 0.1887978207","-2.064487e+00","3.904704e-02","6.064754e-02","-4.628355e+00","Mical1"
"2939","Ctf1","-0.8213660184","-0.3545421706","-3.707099e+00","2.129794e-04","4.868234e-03","-2.709998e-01","Ctf1"
"2940","Ndufs8"," 0.8209790240"," 4.4453474618"," 1.262685e+00","2.067886e-01","2.716492e-01","-5.492758e+00","Ndufs8"
"2941","Ulk4","-0.8209237830","-0.3228453539","-3.553151e+00","3.858037e-04","4.886239e-03","-8.010233e-01","Ulk4"
"2942","Slc22a18","-0.8208438710","-0.3363599955","-3.627806e+00","2.900278e-04","4.886239e-03","-5.593297e-01","Slc22a18"
"2943","Rab40c","-0.8208124592"," 1.4272659946","-2.401256e+00","1.639212e-02","2.723265e-02","-4.165961e+00","Rab40c"
"2944","Psen2","-0.8206679845"," 1.0519126565","-2.133050e+00","3.299179e-02","5.190220e-02","-4.652061e+00","Psen2"
"2945","3110001I22Rik","-0.8205258107","-0.2539534326","-3.343175e+00","8.371920e-04","4.886239e-03","-1.541505e+00","3110001I22Rik"
"2946","Gnl3l"," 0.8204131307"," 2.4435722895"," 1.497630e+00","1.343220e-01","1.852382e-01","-5.377602e+00","Gnl3l"
"2947","Snapc4","-0.8204035482","-0.1060792339","-2.927096e+00","3.444050e-03","6.969896e-03","-2.797377e+00","Snapc4"
"2948","Tmem66","-0.8203057045"," 7.1563158960","-1.317526e+00","1.877507e-01","2.493377e-01","-5.387981e+00","Tmem66"
"2949","Usp16","-0.8202076201"," 1.4408011496","-2.448264e+00","1.440469e-02","2.420372e-02","-3.974847e+00","Usp16"
"2950","Morn3","-0.8201704865","-0.3814264530","-3.861894e+00","1.145999e-04","3.185552e-03"," 3.085688e-01","Morn3"
"2951","Cacna2d1","-0.8201674511"," 0.3225093324","-3.024076e+00","2.512514e-03","5.491119e-03","-2.547342e+00","Cacna2d1"
"2952","Smtn","-0.8201252127"," 1.1546719855","-2.909811e+00","3.639876e-03","7.289395e-03","-2.883254e+00","Smtn"
"2953","Efna4","-0.8200303148","-0.3971030200","-3.907336e+00","9.513028e-05","2.804010e-03"," 4.823053e-01","Efna4"
"2954","Enox1","-0.8199946846"," 0.3203921044","-2.949717e+00","3.202285e-03","6.572005e-03","-2.747319e+00","Enox1"
"2955","Plekhg2","-0.8199623470"," 0.0389258760","-3.325537e+00","8.918195e-04","4.886239e-03","-1.593671e+00","Plekhg2"
"2956","Polk","-0.8197997273"," 0.7236445936","-2.726803e+00","6.427826e-03","1.173901e-02","-3.334462e+00","Polk"
"2957","Ano10","-0.8196375757"," 1.6701461384","-2.080892e+00","3.751822e-02","5.845898e-02","-4.728847e+00","Ano10"
"2958","1810011O10Rik","-0.8194310116"," 0.3274637833","-3.136423e+00","1.724787e-03","4.886239e-03","-2.198108e+00","1810011O10Rik"
"2959","Ip6k3","-0.8194303336","-0.3878354282","-3.777066e+00","1.613945e-04","4.023541e-03","-1.269726e-02","Ip6k3"
"2960","Ddx56","-0.8192728055"," 1.2083799206","-1.921032e+00","5.481089e-02","8.259701e-02","-5.016661e+00","Ddx56"
"2961","Ccdc113","-0.8191625918","-0.3715503225","-3.769472e+00","1.663635e-04","4.120927e-03","-4.001296e-02","Ccdc113"
"2962","Gtpbp2","-0.8190863676"," 0.2909772359","-2.493970e+00","1.267933e-02","2.153925e-02","-3.894774e+00","Gtpbp2"
"2963","Dnajc7"," 0.8189900319"," 3.4690326566"," 1.280345e+00","2.005108e-01","2.643507e-01","-5.546055e+00","Dnajc7"
"2964","Pabpc1","-0.8188784779"," 2.8365422190","-1.883758e+00","5.968272e-02","8.932396e-02","-4.865915e+00","Pabpc1"
"2965","Erc1","-0.8187388006"," 0.7662440569","-1.901451e+00","5.732722e-02","8.604041e-02","-5.044308e+00","Erc1"
"2966","Raly"," 0.8187081292"," 4.8454039250"," 1.333789e+00","1.823621e-01","2.429802e-01","-5.489899e+00","Raly"
"2967","Ogdh","-0.8186659751"," 4.0073698072","-1.486324e+00","1.372860e-01","1.889920e-01","-5.347117e+00","Ogdh"
